Identificacao;Data_remocao;Situacao;Descricao;Cidade;Distrito;Regiao;Fonte;Mapeamento_anterior;Justificativa;Observacao;Tipologia;Propriedade;Proprietario;Familias_ameacadas;Familias_removidas;Movimento;Zoneamento;Inicio_ocupacao;Endereco;Latitude;Longitude;Links;;;;;;;;;;;;;
OCUPACAO VITORIA;28/08/2018;REMOCAO TOTAL;Ocupacao iniciada em outubro de 2016. No terreno da empresa J&N Administracao de Bens, existia um Motel ja desativado. O proprietario, alem de entrar com o pedido de reintegracao de posse, pediu que os moradores paguem indenizacao por danos causados a construcao. Processo nº 1060177-48.2016.8.26.0002;SAO PAULO;CIDADE ADEMAR;SUL 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;48;FLM;;;Rua Marco Gagliano, 55;-23.67596919999999;-46.64394460000001;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.tjsp.jus.br/Noticias/Noticia?codigoNoticia=40579"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
ESTRADA DO MBOI MIRIM, 10604;16/08/2018;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;JARDIM ANGELA;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;;;200;MTST;ZMa;2017;Estrada M'Boi Mirim, 164, M'Boi Mirim, Sao Paulo, SP, Brasil;-23.736675;-46.78907229999999;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=02001GZ550000&processo.foro=2&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
CORREGO DA PACIENCIA;05/08/2018;REMOCAO PARCIAL;Remocao parcial e ameaca de remocao no Corrego da Paciencia: as obras de canalizacao do Corrego da Paciencia, na divisao entre os distritos de Vila Medeiros (Subprefeitura de Vila Maria - Vila Guilherme) e Jacana (Subprefeitura de Jacana - Tremembe) ja removeram 39 domicilios e 231 estao ameacados de remocao nos proximos trechos da obra. A Secretaria de Infraestrutura e Obras (Siurb) informou o Jornal SP Norte As familias tem titulo de compra-e-venda, mas nao titulo registrado em cartorio;SAO PAULO;VILA MEDEIROS;NORTE 1;Denuncia via parceiros do Observatorio de Remocoes;NAO;OBRAS PUBLICAS;Canalizacao do corrego da paciencia;TERRENO VAZIO;PRIVADA;;231;39;;;;;-23.47334;-46.57454;;;;;;;;;;;;;;
RUA SILVA BUENO, 1290;03/08/2018;REMOCAO TOTAL;Caso de remocao mapeado (sem atuacao) pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo;SAO PAULO;IPIRANGA;SUL 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PRIVADA;;;40;;ZC;2016;Rua Silva Bueno, 129, Ipiranga, Sao Paulo, SP, Brasil;-23.589817;-46.6015876;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2S000LD8O0000&processo.foro=100&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
MONTANHAO;01/08/2018;REMOCAO TOTAL;Remocao Administrativa aplicada sobre um terreno consolidado ha mais de 30 anos. Presenca de muitos idosos.;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes -  Rede Contra Remocoes ABC;NAO;AREA DE RISCO;Remocao Administrativa;TERRENO VAZIO;;;;50;MLB;;;Rua Passagem dos Cafezais;-23.73897;-46.52372;;;;;;;;;;;;;;
OCUPACAO ORQUIDEA;26/07/2018;REMOCAO TOTAL;Na regiao da Zona Norte, no bairro Jardim Flor de Maio, a ocupacao teve seus direitos violados e as familias foram removidas por reintegracoes de posse sem realizacao de cadastro das familias e sem previsao de atendimento;SAO PAULO;TREMEMBE;NORTE 1;Pesquisas de campo do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;200;;;;;-23.430650;-46.575326;;;;;;;;;;;;;;
OCUPACAO BOCA DE LEAO;25/07/2018;REMOCAO TOTAL;Na regiao da Zona Norte, no bairro Jardim Flor de Maio, a ocupacao teve seus direitos violados e as familias foram removidas por reintegracoes de posse sem realizacao de cadastro das familias e sem previsao de atendimento;SAO PAULO;TREMEMBE;NORTE 1;Pesquisas de campo do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;100;;;;;-23.434948;-46.574883;;;;;;;;;;;;;;
OCUPACAO BRINCO DE PRINCESA;25/07/2018;REMOCAO TOTAL;Na regiao da Zona Norte, no bairro Jardim Flor de Maio, a ocupacao teve seus direitos violados e as familias foram removidas por reintegracoes de posse sem realizacao de cadastro das familias e sem previsao de atendimento;SAO PAULO;TREMEMBE;NORTE 1;Pesquisas de campo do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;100;Movimento de Moradia e Emprego Norte;;2017;Rua Brinco de Princesa, Jacana / Tremembe, Sao Paulo, SP, Brasil;-23.430601;-46.57252719999999;;;;;;;;;;;;;;
OCUPACAO AV GUARATINGUETA;12/07/2018;REMOCAO TOTAL;Cerca de 100 familias oriundas em sua maioria de Sao Mateus, Zona Leste de Sao Paulo, ocuparam o terreno da CDHU por cerca de uma semana, mas foram removidos pois a prefeitura alega projeto de construcao habitacional na area.;SANTO ANDRE;;ABC;Clipping;SIM;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;;100;;;;Av. Guaratingueta, Santo Andre;-23.652208; -46.499068;;;;;;;;;;;;;;
RUA LUIS PEREIRA REBOUCAS;12/07/2018;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;ANHANGUERA;NORTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;;;3;;ZMa;1990;Rua Luis Pereira Reboucas, 229, Perus, Sao Paulo, SP, Brasil;-23.4275976;-46.792206;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1H000B0U80000&processo.foro=53&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
HARRY DANEMBERG;09/07/2018;REMOCAO PARCIAL;Remocao parcial de 60 familias, devido ao risco. Moravam no local cerca de 80 familias.;SAO PAULO;PARQUE DO CARMO;LESTE 2;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;20;60;;;;Rua Harry Danemberg, 658;-23.555911;-46.465026;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://desenvolveitaquera.com.br/2018/07/09/esqueleto-da-av-harry-dannemberg-defesa-civil-pede-retirada-de-moradores/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
POS BALSA;07/07/2018;REMOCAO PARCIAL;Moradores do bairro Pos-Balsa, em Sao Bernardo do Campo, no ABC paulista, denunciaram ao Conselho Estadual de Defesa dos Direitos da Pessoa Humana de Sao Paulo (Condepe) que estao sendo alvo de acoes truculentas da Guarda Civil Metropolitana (GCM), ao cumprir uma ordem da prefeitura de  demolir moradias na regiao. A entidade condenou as operacoes como uma violacao aos direitos humanos e pede o fim do processo de retirada das familias.  ;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;;;200;30;;;;Estr. do Rio Acima, 6334;-23.814458;-46.545036;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.redebrasilatual.com.br/cidadania/2018/08/moradores-de-pos-balsa-em-sao-bernardo-denunciam-violencia-da-gcme"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
OCUPACAO PASTORZINHO;05/07/2018;REMOCAO TOTAL;A ocupacao teve inicio no dia 16 de junho de 2018, e lideres da ocupacao disseram que nao vao desistir de ocupar o terreno ate terem garantia de atendimento.;SANTO ANDRE;;ABC;Clipping;SIM;AREA DE RISCO;;TERRENO VAZIO;PUBLICA;PREFEITURA;;68;;;;Av Bom Pastor, 7;-23.675286;-46.552779;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.dgabc.com.br/Noticia/2906368/sem-ter-para-onde-ir-prometem-voltar-a-ocupar-o-terreno-localizado-em-bairro-de-santo-andre"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA DO CARMO;30/06/2018;REMOCAO TOTAL;Apos as vistorias em edificios ocupados do Centro, decorrentes do incendio no edificio do Largo Paissandu, realizadas pela Prefeitura, o edificio que foi considerado inseguro teve suas 50 familias removidas.;SAO PAULO;SE;CENTRO;Dados oficiais - Visitas nas ocupacoes de moradia realizada pela PMSP;NAO;AREA DE RISCO;;EDIFICACAO;PRIVADA;;;50;;;;Rua do Carmo, 13;-23.551397;-46.630511;;;;;;;;;;;;;;
CASA DAS MULHERES;26/06/2018;REMOCAO TOTAL;Na ocupacao viviam mulheres sozinhas e maes solteiras com seus filhos, ja removidas da ocupacao Vitorino Camilo.;SAO PAULO;VILA LEOPOLDINA;OESTE;Denuncia via Whatsapp;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;13;FLM;;;Av. Imperatriz Leopoldina, 1495;-23.533890;-46.728100;;;;;;;;;;;;;;
PARQUE IMIGRANTES/SKAF;24/06/2018;REMOCAO PARCIAL;;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes - Rede Contra Remocoes ABC;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;;;15000;38;;;;Rua Servidao Particular;-23.71641;-46.58532;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://abcdmaior.com.br/index.php/2018/06/24/500-familias-podem-perder-o-lar-com-reintegracao-de-posse-de-terreno-da-familia-skaf/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
ESTRADA IGUATEMI 6400 / JOAO LEOPOLDO;24/05/2018;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;JOSE BONIFACIO;LESTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;;;120;;ZPDS;2014;Avenida Ragueb Chohfi, 2592, Itaquera, Sao Paulo, SP, Brasil;-23.5856526;-46.4147427;;;;;;;;;;;;;;
OCUPACAO MARISA LETICIA/VITORINO CAMILO;24/05/2018;REMOCAO TOTAL;A reintegracao foi anunciada no dia 16 de maio, numa reuniao convocada cinco dias antes, quando policias foram ate o predio com o aviso judicial e a companhia de energia eletrica cortou o fornecimento de energia, deixando todos no escuro. ;SAO PAULO;SANTA CECILIA;CENTRO;Denuncia via Whatsapp;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;40;Movimento de Moradia Familias Independentes (MMFI);;;Rua Vitorino Camilo, 244;-23.5344392;-46.64996610000000;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.redebrasilatual.com.br/cidadania/2018/05/sao-paulo-mais-43-familias-nas-ruas"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO FORTE ALIANCA;22/05/2018;REMOCAO PARCIAL;"Segundo informacoes dos moradores, o terreno e area privada, mas a ocupacao estaria em lotes de diferentes proprietarios. Alem disso, mesmo a propriedade da area e questao de disputa. 
Algumas liderancas respondem a processos ambientais, o que levou a uma decisao de embargo que impedia qualquer obra dentro da ocupacao. A decisao ja foi derrubada, pelo que nos relataram moradores.";SAO PAULO;TREMEMBE;NORTE 1;Denuncia via formulario online;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PRIVADA;;;400;Associacao Forte Alianca;;2015;R. Manoel de Araujo, 83;-23.427905;-46.574953;;;;;;;;;;;;;;
ESTACAO MANOEL FEIO;22/05/2018;REMOCAO TOTAL;Remocao administrativa, sem ordem judicial em uma area proxima a estacao Manoel Feio. A area foi desocupada duas vezes seguidas, pois os moradores reocuparam como resistencia a truculencia da reintegracao.;ITAQUAQUECETUBA;;RMSP;Denuncia via Whatsapp;NAO;REINTEGRACAO DE POSSE;Remocao Administrativa;TERRENO VAZIO;PUBLICA;GOVERNO DO ESTADO;;;;;;Av. Eldorado, 467;-23.480339;-46.363022;;;;;;;;;;;;;;
JUNDIAPEBA;22/05/2018;REMOCAO PARCIAL;O terreno estava ocupado desde 2013 e pertence a Companhia de Transmissao de Energia Eletrica (Cteep). A empresa afirmou que as familias corriam risco por estarem na area da linha de transmissao. O mandado foi expedido no dia 2 de maio pela Vara da Fazenda Publica de Mogi das Cruzes. Grande parte dessas familias esta cadastrada ha anos no projeto ‘Minha Casa, Minha Vida’, na modalidade entidades, mas a construcao do condominio ainda nao comecou.;MOGI DAS CRUZES;;RMSP;Denuncia via Whatsapp;NAO;AREA DE RISCO;;TERRENO VAZIO;PRIVADA;;200;70;;;;Rua Equador, 36;-23.546467; -46.242149;;;;;;;;;;;;;;
CONSELHEIRO CARRAO;19/05/2018;REMOCAO TOTAL;Predio ocupado em 2014 por 182 familias em uma Jornada de Luta por Moradia encabecada pelo movimento de moradia FLM.;SAO PAULO;BELA VISTA;CENTRO;Clipping;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;182;MMPT - Movimento de Moradia Para Todos;;;;-23.557638; -46.644204;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.facebook.com/story.php?story_fbid=758096544314225&id=292074710916413"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA OPCAO BRASIL, GRAJAU;10/05/2018;REMOCAO TOTAL;A ocupacao se iniciou 5 dias antes da reintegracao de posse. O movimento de moradia que liderou a ocupacao teve a intencao de visibilizar a demora na construcao de conjuntos habitacionais em terreno proximo, o Conjunto Chacara do Conde II, que esta parada ha 5 anos pelo Governo do Estadoe atendera 1300 familias. Na reintegracao, a PM nao deixou que os moradores retirassem seus pertences do local. A lideranca aponta a problematica do auxilio-aluguel, que poderia ser revertido efetivamente em moradia.;SAO PAULO;GRAJAU;SUL 2;Denuncia via Whatsapp;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;GOVERNO DO ESTADO;;420;FLM;;;Rua Opcao Brasil ;-23.763137;-46.698073;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.redebrasilatual.com.br/cidadania/2018/05/policia-faz-reintegracao-de-posse-em-ocupacao-na-zona-sul-de-sp"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO CASA DA MOEDA;08/05/2018;REMOCAO TOTAL;Dos 8 predios ocupados em Sao Paulo na noite do dia 15/10/17, pela Frente de Luta por Moradia, apenas essa continuou nas maos dos ocupantes ate 2018. O Predio da Casa da Moeda estava abandonado a mais de 10 anos e possuia uma divida de 4 milhoes de reais de IPTU.;SAO PAULO;SE;CENTRO;Denuncia via Whatsapp;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;100;FLM;;;Rua Joao Bricola, 67;-23.545306;-46.63378;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.tvt.org.br/ocupacao-da-casa-da-moeda-em-sp-resiste-nas-maos-dos-sem-tetos/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA PIO XI;02/05/2018;REMOCAO TOTAL;Caso de remocao mapeado (sem atuacao) pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo;SAO PAULO;LAPA;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;14;;;2017;Rua Pio XI, 465, Lapa, Sao Paulo, SP, Brasil;-23.5284059;-46.71010159999999;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=040015A5L0000&processo.foro=4&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
WILTON PAES / TORRE DE VIDRO;01/05/2018;REMOCAO TOTAL;O predio de 24 andares pegou fogo e desabou na regiao do Largo do Paissandu, no Centro de Sao Paulo. Sao 150 familias que moravam no edificio que era Patrimonio da Uniao, mas foi cedido a Prefeitura.;SAO PAULO;REPUBLICA;CENTRO;Pesquisas de campo do Observatorio de Remocoes;NAO;INCENDIO;;EDIFICACAO;PUBLICA;GOVERNO FEDERAL;;150;MLSM;;2015;Rua Antonio de Godoy, 23;-23.542380;-46.637785;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://g1.globo.com/sp/sao-paulo/noticia/incendio-atinge-predio-no-centro-de-sp.ghtml"" target=""_blank""style=""font-weight: bold; color: Clique aqui para ler mais</a>";;;;;;;;;;;;;
AUGUSTO AMARAL;27/04/2018;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;BRASILANDIA;NORTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PUBLICA;COHAB;;250;Movimento Parapua;ZEIS-5;2014;Rua Doutor Augusto do Amaral, 15, Freguesia do O/Brasilandia , Sao Paulo, SP, Brasil;-23.4752855;-46.69170339999999;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0K00031TJ0000&processo.foro=20&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
RUA BOCOROCA;20/04/2018;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;JABAQUARA;SUL 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;8;;ZEIS-3;2017;Avenida Engenheiro George Corbisier, 18, Jabaquara, Sao Paulo, SP, Brasil;-23.6519307;-46.6482863;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=030016OL10000&processo.foro=3&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
QUADRA 36 – CAMPOS ELISEOS (CRACOLANDIA);16/04/2018;REMOCAO TOTAL;Imissao na posse e o processo pelo qual o governo do Estado se apropriou dos imoveis de toda a chamada quadra 36 para demoli-los para construir, em esquema de parceria-publico privada (PPP), a nova sede do Hospital Perola Byington. Segundo o Plano Diretor da cidade, por fazer parte de uma Zeis 3 (Zona Especial de Interesse Social), o quarteirao so pode receber modificacoes apos serem discutidas por um conselho gestor. Esse conselho, porem, foi formado as pressas, quando o processo de reintegracao de posse ja estava em curso. Esta e uma das irregularidades que serao apresentadas pela Promotoria de Habitacao para tentar reverter a decisao judicial.;SAO PAULO;SANTA CECILIA;CENTRO;Pesquisas de campo do Observatorio de Remocoes;NAO;PARCERIAS PUBLICO PRIVADAS;PPP Hospital Perola Byington;EDIFICACAO;PRIVADA;;;250;;;;Alameda Barao de Piracicaba, 35 - Campos Eliseos, Sao Paulo;-23.5337359;-46.64335299999999;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www1.folha.uol.com.br/cotidiano/2018/04/regiao-da-cracolandia-tem-remocao-de-familias-para-construcao-de-hospital.shtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO POVO SEM MEDO;11/04/2018;REMOCAO TOTAL;Ocupacao realizada pelo movimento dos trabalhadores sem teto (MTST), ocupou o terreno no 02/09/17 com cerca de 500 familias ocupadas. ;SAO BERNARDO DO CAMPO;;ABC;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;7000;MTST;;;Rua Joao Augusto de Sousa, Sao Bernardo do Campo - State of Sao Paulo, Brazil;-23.7107963;-46.56722130000000;;;;;;;;;;;;;;
FREGUESIA DAS VARGAS;01/04/2018;REMOCAO TOTAL;Imagens encontradas a partir do google satelite -  proximo a outro ponto de remocao / remocao aparentemente para obras;SAO PAULO;JARDIM HELENA;LESTE 2;Pesquisas de campo do Observatorio de Remocoes;NAO;;;;;;;;;;;;-23.482612°;-46.389473°;;;;;;;;;;;;;;
